XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
12.0,400290,毛泽东思想和中国特色社会主义理论体系概论（实践部分）01班,20232024100000030B01,思政课,3,,19,4-17周,2,丁蕖,自由时间  4-17周 自由地点,2.0,马克思主义学院,否,实践类课程,自由时间,2023-2024-1,,20232024100000030B01,,0,仙林校区,2023-2024学年 第1学期,01,自由地点,0.0,否,,3,0,00,32,0,毛泽东思想和中国特色社会主义理论体系概论（实践部分）,,自由时间,,00000030B
48.0,400290,中国近现代史纲要01班,2023202410000004101,思政课,3,,128,1-17周,0,黄骏,周一 9-11节 1-17周 仙Ⅱ-503,3.0,马克思主义学院,是,理论+实践课程,周一,2023-2024-1,,2023202410000004101,"2022计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）",0,仙林校区,2023-2024学年 第1学期,01,仙Ⅱ-503,0.0,否,,5,32,00,16,1,中国近现代史纲要,12,第9节-第11节,仙II区,00000041
48.0,400290,中国近现代史纲要02班,2023202410000004102,思政课,3,,135,1-17周,0,王楠,周四 9-11节 1-17周 仙Ⅱ-403,3.0,马克思主义学院,是,理论+实践课程,周四,2023-2024-1,,2023202410000004102,"2022现代工程与应用科学学院生物医学工程,2022现代工程与应用科学学院新能源科学与工程,2022现代工程与应用科学学院光电信息科学与工程,2022现代工程与应用科学学院材料化学,2022现代工程与应用科学学院材料物理",0,仙林校区,2023-2024学年 第1学期,02,仙Ⅱ-403,0.0,否,,5,32,00,16,1,中国近现代史纲要,12,第9节-第11节,仙II区,00000041
48.0,400290,中国近现代史纲要03班,2023202410000004103,思政课,3,,113,1-17周,0,周瑞瑞,周一 2-4节 1-17周 仙Ⅰ-109,3.0,马克思主义学院,是,理论+实践课程,周一,2023-2024-1,,2023202410000004103,"2022化学学院化学,2022化学学院化学（强基计划）,2022化学学院应用化学,2022化学学院化学（化学生物学）",0,仙林校区,2023-2024学年 第1学期,03,仙Ⅰ-109,0.0,否,,5,32,00,16,1,中国近现代史纲要,11,第2节-第4节,仙I区,00000041
48.0,400290,中国近现代史纲要04班,2023202410000004104,思政课,3,,35,1-17周,0,杨丹伟,周五 9-11节 1-17周 仙Ⅰ-206,3.0,马克思主义学院,是,理论+实践课程,周五,2023-2024-1,,2023202410000004104,"2022马克思主义学院马克思主义理论,2022信息管理学院编辑出版学,2022信息管理学院档案学,2022信息管理学院图书馆学,2022信息管理学院信息管理与信息系统,2022建筑与城市规划学院建筑类（建筑与规划实验班）,2022建筑与城市规划学院城乡规划,2022建筑与城市规划学院建筑学,2022海外教育学院汉语国际教育",0,仙林校区,2023-2024学年 第1学期,04,仙Ⅰ-206,0.0,否,,5,32,00,16,1,中国近现代史纲要,11,第9节-第11节,仙I区,00000041
48.0,400290,中国近现代史纲要05班,2023202410000004105,思政课,3,,138,1-17周,0,谢任,周一 9-11节 1-17周 逸B-101,3.0,马克思主义学院,是,理论+实践课程,周一,2023-2024-1,,2023202410000004105,"2022地理与海洋科学学院地理科学（拔尖计划）,2022地理与海洋科学学院地理科学类,2022环境学院环境科学与工程类,2022环境学院环境科学与工程类（环境与健康实验班）",0,仙林校区,2023-2024学年 第1学期,05,逸B-101,0.0,否,,5,32,00,16,1,中国近现代史纲要,16,第9节-第11节,逸夫楼B区,00000041
48.0,400290,中国近现代史纲要06班,2023202410000004106,思政课,3,,107,1-17周,0,吴盛杰,周一 9-11节 1-17周 逸B-205,3.0,马克思主义学院,是,理论+实践课程,周一,2023-2024-1,,2023202410000004106,"2022医学院口腔医学,2022医学院临床医学",0,仙林校区,2023-2024学年 第1学期,06,逸B-205,0.0,否,,5,32,00,16,1,中国近现代史纲要,16,第9节-第11节,逸夫楼B区,00000041
48.0,400290,中国近现代史纲要07班,2023202410000004107,思政课,3,,112,1-17周,2,周瑞瑞,周一 5-7节 1-17周 逸B-313,3.0,马克思主义学院,是,理论+实践课程,周一,2023-2024-1,,2023202410000004107,2022人工智能学院人工智能,0,仙林校区,2023-2024学年 第1学期,07,逸B-313,0.0,否,,5,32,00,16,1,中国近现代史纲要,16,第5节-第7节,逸夫楼B区,00000041
48.0,400290,中国近现代史纲要08班,2023202410000004108,思政课,3,,124,1-17周,0,黄骏,周三 9-11节 1-17周 仙Ⅱ-503,3.0,马克思主义学院,是,理论+实践课程,周三,2023-2024-1,,2023202410000004108,"2022计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）",0,仙林校区,2023-2024学年 第1学期,08,仙Ⅱ-503,0.0,否,,5,32,00,16,1,中国近现代史纲要,12,第9节-第11节,仙II区,00000041
48.0,400290,中国近现代史纲要09班,2023202410000004109,思政课,3,,110,1-17周,0,熊秋良,周二 9-11节 1-17周 逸B-104,3.0,马克思主义学院,是,理论+实践课程,周二,2023-2024-1,,2023202410000004109,"2022生命科学学院生物科学类,2022生命科学学院生物科学（强基计划）,2022匡亚明学院英才计划（生命科学班）",0,仙林校区,2023-2024学年 第1学期,09,逸B-104,0.0,否,,5,32,00,16,1,中国近现代史纲要,16,第9节-第11节,逸夫楼B区,00000041
